name,earnings_yield,eps_ttm,trailing_pe,pc_return_on_equity_ttm,pc_return_on_assets_ttm,market_cap,ent_val,pc_profit_margin,pc_operating_margin_ttm,total_cash,total_debt,q_revenue_growth,q_earnings_growth,
NKTR,0.1333446893787575,2.52,0.0,77.86,30.7,2990000000,4990000000,55.65,55.26,1390000000,344060000,25.8,None
VRSN,0.039014187643020594,5.15,35.47,None,26.74,21270000000,21850000000,49.71,65.45,1220000000,1800000000,1.0,18.6
YUM,0.06785354383607659,4.14,15.29,None,25.45,19040000000,29770000000,23.12,34.05,611000000,11340000000,8.7,46.1
MA,0.04246718066263805,7.94,29.85,141.43,22.34,238240000000,239950000000,48.08,57.26,7680000000,9290000000,15.9,133.6
IDXX,0.03117008099094807,4.89,47.97,507.49,21.0,19990000000,20990000000,17.77,23.53,90330000,1070000000,10.2,5.7
HD,0.06968534151957022,10.25,17.43,None,20.36,192060000000,260600000000,10.24,14.59,1880000000,34200000000,5.7,4.5
TXN,0.07096568575374482,5.24,19.09,56.05,20.2,93350000000,94130000000,34.88,39.51,5390000000,6140000000,9.9,13.6
INTU,0.03828096785843265,6.18,35.34,50.01,19.85,56890000000,55380000000,22.89,26.81,2270000000,754000000,12.9,27.0
SPGI,0.05390662602278197,8.6,27.77,90.17,18.99,57540000000,62330000000,31.69,47.16,2890000000,4680000000,12.9,5.9
FAST,0.06696428571428571,1.38,22.09,31.84,18.54,17510000000,17920000000,14.83,19.8,174900000,590600000,3.7,5.9
RHI,0.15916705336426915,3.9,9.74,41.18,18.4,4370000000,4310000000,7.48,10.21,270480000,273830000,3.8,0.6
MNST,0.05321826681049982,2.03,26.71,28.47,18.27,29110000000,27810000000,26.37,33.67,1330000000,29950000,10.1,6.6
TROW,0.11753986332574032,8.7,10.94,29.81,17.53,22210000000,21950000000,37.94,42.49,1780000000,146300000,12.5,55.0
ROST,0.08698677800974251,4.3,16.25,49.84,17.4,26600000000,28740000000,10.35,13.38,1350000000,3490000000,7.5,3.3
BIIB,0.14262023217247097,31.42,9.56,44.66,17.31,52310000000,54270000000,40.96,50.6,4480000000,6440000000,4.1,52.1
MTD,0.04819277845777234,22.47,28.06,111.02,16.95,15120000000,16340000000,18.65,24.37,207780000,1380000000,3.2,6.4
CL,0.060587700696758555,2.75,24.59,669.4,16.61,57980000000,66020000000,15.08,23.03,906000000,8480000000,5.4,6.1
PM,0.08377000424868998,4.61,15.93,None,16.42,114390000000,141220000000,24.11,36.45,6860000000,31810000000,2.9,15.4
QCOM,0.12394081193878842,3.52,18.51,104.38,15.59,74560000000,79070000000,17.31,34.28,11420000000,15930000000,4.9,13.4
BKNG,0.11072994091862016,111.82,11.01,66.11,15.15,50530000000,52470000000,32.29,35.48,7310000000,9250000000,3.9,81.3
RRC,0.2349128205128205,6.922,0.0,53.58,15.04,672450000,3900000000,65.99,75.5,546,3240000000,39.6,None
GWW,0.10860927152317881,15.32,15.58,43.1,14.81,12810000000,15100000000,7.39,12.25,360000000,2440000000,3.0,50.7
EXPD,0.07202387041773231,3.52,19.79,30.37,14.43,11270000000,11730000000,7.49,9.53,1190000000,348190000,8.9,3.0
TJX,0.09213051823416507,2.67,15.34,59.51,14.35,49060000000,57310000000,7.84,10.59,3220000000,11460000000,9.7,17.0
ITW,0.07589197713384585,7.74,18.14,80.18,14.31,44580000000,50730000000,17.87,24.28,1980000000,7940000000,3.1,5.6
WAT,0.06514183835182251,8.69,20.71,87.67,14.26,11180000000,12620000000,24.61,29.79,337140000,1780000000,0.2,8.4
ALGN,0.05290114739629303,5.53,27.88,34.07,14.12,12140000000,11330000000,18.4,21.38,868630000,59200000,21.7,24.5
ULTA,0.11695906432748537,12.15,12.9,37.93,13.98,8830000000,10260000000,9.54,12.18,502320000,1940000000,8.5,3.7
MCD,0.06324848047180598,7.88,20.35,None,13.84,119520000000,166170000000,28.59,42.18,898500000,47560000000,3.6,11.1
CELG,0.10370026679039554,8.13,13.31,69.39,13.69,77040000000,86210000000,34.62,48.75,10900000000,20070000000,16.1,56.3
KMB,0.07523391254535039,6.24,20.82,968.92,13.65,44360000000,52370000000,11.69,17.64,442000000,8180000000,0.3,33.1
ACN,0.07551919446192575,7.66,19.85,34.01,13.44,97060000000,95340000000,11.13,14.66,5440000000,3410000000,6.6,9.8
V,0.047725245316681535,5.48,27.73,35.68,13.43,336480000000,336300000000,52.6,66.86,12670000000,17260000000,10.0,9.9
LRCX,0.08481012658227848,13.5,16.15,40.72,13.26,31750000000,31600000000,21.67,25.2,4680000000,4530000000,2.4,9.6
HSY,0.0591413989792855,5.46,25.6,72.76,13.24,20700000000,33310000000,14.4,21.02,493260000,4480000000,4.0,38.5
CLX,0.05081381500595474,6.35,27.95,125.83,13.21,22210000000,25190000000,13.31,18.15,168000000,3150000000,1.6,1.6
NKE,0.04698890649762282,2.71,29.11,47.96,13.18,122810000000,126200000000,10.46,12.55,3180000000,6660000000,5.1,23.1
EW,0.034366925064599485,4.93,38.35,28.73,13.13,39200000000,38700000000,24.08,28.53,1520000000,678800000,20.1,902.9
MCO,0.052088113813676,7.42,28.14,191.43,13.08,39090000000,43580000000,29.45,42.89,1930000000,6150000000,16.3,43.4
FB,0.07513267626990144,6.43,23.98,19.96,13.0,439480000000,395700000000,26.15,33.93,54860000000,11070000000,24.6,6.8
MAS,0.1082024432809773,3.23,10.04,523.08,12.91,8550000000,11460000000,13.94,16.04,697000000,2970000000,79.9,133.5
MO,0.1155053358443189,0.7,0.0,12.25,12.9,69520000000,95580000000,6.53,54.61,2120000000,28040000000,0.3,None
ORLY,0.07838224767358626,17.88,16.52,370.45,12.85,21930000000,27940000000,13.71,18.94,40410000,5860000000,7.3,8.2
COG,0.1606022584692597,1.63,10.64,32.13,12.65,6920000000,7970000000,34.3,44.26,200230000,1260000000,30.8,46.6
ROK,0.07656004195070792,7.84,18.73,80.57,12.53,17050000000,19070000000,13.75,19.41,926800000,2620000000,2.6,286.9
KLAC,0.08493150684931507,7.13,17.95,53.05,12.4,20060000000,21900000000,21.55,27.92,1680000000,3500000000,34.8,3.1
AZO,0.09834834834834835,65.55,12.06,None,12.36,18460000000,26640000000,13.42,18.51,200920000,8380000000,2.6,1.6
ALLE,0.07120805369127517,4.26,19.73,56.86,12.29,7780000000,8940000000,14.08,19.91,356000000,1510000000,2.4,39.2
ZTS,0.04361792054099747,3.11,36.85,61.31,12.28,54430000000,59150000000,23.96,35.03,1940000000,6650000000,7.0,11.3
STX,0.14124293785310735,6.18,7.4,97.61,12.08,11940000000,15930000000,13.73,15.68,1390000000,4520000000,17.5,48.8
VFC,0.10561797752808989,3.22,15.16,35.44,12.04,19290000000,22250000000,9.03,14.19,583950000,3540000000,4.9,0.3
EL,0.05862646566164154,5.06,30.43,41.95,11.94,55400000000,59700000000,11.76,18.44,3600000000,7870000000,15.5,2.8
HRB,0.14224070450097848,2.04,5.86,None,11.64,2300000000,5110000000,12.96,17.73,192340000,3010000000,10.9,None
NVDA,0.022904552545738192,4.52,53.96,25.95,11.62,149270000000,141020000000,25.61,26.07,10900000000,2640000000,40.8,68.0
SWKS,0.10134600158353127,4.78,16.81,19.89,11.61,13620000000,12630000000,25.02,27.66,1190000000,160200000,7.8,9.8
AAPL,0.07300934579439253,12.6,19.17,55.47,11.58,1060000000000,1070000000000,21.49,24.71,107160000000,116750000000,8.9,11.4
ABBV,0.11577861301496058,5.28,13.9,None,11.53,108340000000,135690000000,23.69,41.17,39920000000,67090000000,4.8,None
MSFT,0.05469642857142857,5.74,26.79,43.83,11.38,1170000000000,1120000000000,33.02,36.74,134230000000,87150000000,13.7,38.3
MRK,0.08793193592851371,3.81,20.01,36.98,11.28,193390000000,210390000000,21.01,32.19,10450000000,27350000000,7.9,29.0
AMAT,0.0954387704511651,3.02,14.02,33.52,11.26,38830000000,40340000000,18.83,23.2,3960000000,5470000000,10.9,15.7
TSCO,0.07883682008368201,4.66,17.06,35.94,11.14,9220000000,11950000000,6.73,8.93,84800000,2710000000,2.7,5.4
LOW,0.0938419875191334,2.94,33.73,152.46,11.12,77700000000,84930000000,5.93,9.12,876000000,23750000000,2.4,None
MMM,0.09101334445371143,7.81,17.13,45.88,10.99,76960000000,95920000000,14.22,22.21,2450000000,21300000000,2.1,28.1
CHRW,0.08479611650485437,4.19,16.26,35.33,10.89,8950000000,10300000000,3.77,5.16,447860000,1560000000,8.3,47.0
CTSH,0.14886877828054298,3.29,13.19,16.41,10.87,23810000000,22100000000,10.98,16.61,3420000000,1710000000,3.8,39.0
SNA,0.16560509554140126,12.41,7.7,21.72,10.85,5220000000,6280000000,17.05,23.62,184400000,1220000000,0.4,2.5
CDNS,0.03541959229898075,3.53,18.11,58.32,10.79,17950000000,17660000000,42.33,21.52,709810000,456360000,5.2,570.2
ADBE,0.02873239436619718,6.6,44.49,31.79,10.77,141460000000,142000000000,27.72,30.1,4170000000,4710000000,18.8,41.7
MSI,0.08042488619119878,5.78,25.58,None,10.77,22250000000,26360000000,11.01,21.91,1000000000,5750000000,5.4,42.4
HCA,0.1515057915057915,10.07,8.13,None,10.71,27700000000,64750000000,6.83,14.06,768000000,35580000000,10.2,0.7
LYB,0.14129422718808193,11.12,7.76,42.79,10.7,32090000000,42960000000,11.24,12.79,788000000,11550000000,10.1,33.8
SBUX,0.060533216783216784,3.05,20.65,None,10.68,74000000000,91520000000,13.81,15.11,3110000000,20630000000,7.0,16.4
RMD,0.036808747855917666,3.13,48.83,21.59,10.61,22120000000,23320000000,16.34,25.03,204100000,1400000000,13.1,28.8
INTC,0.13410502540937325,4.71,11.49,27.68,10.6,231700000000,247940000000,29.25,31.17,13120000000,29550000000,8.3,32.9
REGN,0.04801873902010541,18.46,26.72,21.32,10.57,54280000000,51230000000,26.91,28.55,3210000000,737500000,12.5,3.5
XLNX,0.05441810344827586,3.41,23.19,33.16,10.57,19680000000,18560000000,27.05,26.95,2430000000,1300000000,9.6,32.3
LMT,0.07902079020790208,21.95,15.97,269.7,10.41,98790000000,111110000000,10.42,12.87,1510000000,13760000000,10.2,19.6
